username,follower_count,following_count,video_count,is_verified
clarseconscious,25.0,2.0,3.0,False
claudiasavage8,25157.0,2840.0,315.0,False
claytonsecondaryschool,12172.0,3.0,176.0,False
climatejoe,32.0,14.0,10.0,False
clipsgalore19,3.0,5.0,5.0,False
clipzoneuk,65674.0,0.0,137.0,False
clipzwithai,1330.0,487.0,94.0,False
cllr..graeme.case,99.0,49.0,5.0,False
cllranthonycarroll,1629.0,135.0,174.0,False
cllrmajid,7544.0,1285.0,1547.0,False
cllrmuhammedaliislam,8627.0,300.0,527.0,False
cllrsimonlee,1168.0,212.0,156.0,False
cllrtalatsajawal,2848.0,1018.0,911.0,False
cloutnews,1010096.0,14.0,2594.0,True
clunkmagazine,3805.0,506.0,437.0,False
cod_fypp,4732.0,41.0,367.0,False
coinneachmacanndrais,2150.0,610.0,269.0,False
colchester_gazette,1741.0,24.0,114.0,False
colchesterreformuk,1425.0,41.0,17.0,False
colin.thom.61,1025.0,372.0,421.0,False
colinsdlp,4508.0,224.0,285.0,False
colnevalley.reform,1316.0,23.0,57.0,False
columeastwood,3562.0,41.0,85.0,False
comedyunleashed,13198.0,20.0,257.0,False
commonmanuk,3890.0,39.0,362.0,False
complainingbrit,1055.0,1484.0,34.0,False
computerx79,643.0,206.0,11.0,False
comrade_ashok,15643.0,99.0,369.0,False
concernedglitch,965.0,3.0,27.0,False
conexeuropean,2813.0,71.0,120.0,False
connornaismithmp,1743.0,271.0,199.0,False
conservation_kate,16726.0,958.0,824.0,False
contemplatewithmr.z,66.0,7.0,97.0,False
contentghost4,342.0,0.0,40.0,False
cooperation.hull,691.0,58.0,33.0,False
coopparty,2289.0,109.0,298.0,False
cornishg1,8587.0,544.0,359.0,False
costathemodel,12988.0,23.0,169.0,False
council.cutie,16435.0,5077.0,589.0,False
councillor.chris,89.0,33.0,22.0,False
cp.obe,10135.0,184.0,397.0,False
cptbenzie,2061.0,47.0,146.0,False
craigdavidson85,51415.0,607.0,2100.0,False
craigmurray4blackburn,98.0,0.0,6.0,False
cramlingtonnews,4725.0,3.0,199.0,False
crazyvidscontent,15.0,3.0,3.0,False
creatorlabs3,22.0,0.0,7.0,False
crimetalkuk,180483.0,0.0,136.0,False
criminalinjurieshelpline,16249.0,135.0,1161.0,False
critical_mass_media,21.0,14.0,17.0,False
croftzuk,1017.0,2771.0,109.0,False
crossingswords_podcast,139.0,28.0,167.0,False
croydonextra,38322.0,295.0,1063.0,False
croydonriapatel,1262.0,385.0,40.0,False
croydonwest,16.0,0.0,123.0,False
crueltyfreeintl,1399.0,63.0,272.0,False
csp.libdems,0.0,2.0,2.0,False
csupsy,6614.0,1030.0,375.0,False
cultdeep.irl,290.0,139.0,135.0,False
cultureclashfamily,142982.0,1053.0,1273.0,False
curlywurlykurt,4581.0,2731.0,380.0,False
